"","species","Window","Value","Valuelog"
"1","Thymus pulegioides","win_1970",NA,NA
"2","Thymus pulegioides","win_1971",NA,NA
"3","Thymus pulegioides","win_1972",NA,NA
"4","Thymus pulegioides","win_1973",NA,NA
"5","Thymus pulegioides","win_1974",NA,NA
"6","Thymus pulegioides","win_1975",NA,NA
"7","Thymus pulegioides","win_1976",NA,NA
"8","Thymus pulegioides","win_1977",NA,NA
"9","Thymus pulegioides","win_1978",NA,NA
"10","Thymus pulegioides","win_1979",NA,NA
"11","Thymus pulegioides","win_1980",NA,NA
"12","Thymus pulegioides","win_1981",NA,NA
"13","Thymus pulegioides","win_1982",NA,NA
"14","Thymus pulegioides","win_1983",NA,NA
"15","Thymus pulegioides","win_1984",NA,NA
"16","Thymus pulegioides","win_1985",NA,NA
"17","Thymus pulegioides","win_1986",NA,NA
"18","Thymus pulegioides","win_1987",NA,NA
"19","Thymus pulegioides","win_1988",NA,NA
"20","Thymus pulegioides","win_1989",NA,NA
"21","Thymus pulegioides","win_1990",NA,NA
"22","Thymus pulegioides","win_1991",NA,NA
"23","Thymus pulegioides","win_1992",NA,NA
"24","Thymus pulegioides","win_1993",NA,NA
"25","Thymus pulegioides","win_1994",NA,NA
"26","Thymus pulegioides","win_1995",NA,NA
"27","Thymus pulegioides","win_1996",NA,NA
"28","Thymus pulegioides","win_1997",NA,NA
"29","Thymus pulegioides","win_1998",NA,NA
"30","Thymus pulegioides","win_1999",NA,NA
"31","Thymus pulegioides","win_2000",1,0.693147180559945
"32","Thymus pulegioides","win_2001",1,0.693147180559945
"33","Thymus pulegioides","win_2002",1,0.693147180559945
"34","Thymus pulegioides","win_2003",1,0.693147180559945
"35","Thymus pulegioides","win_2004",1,0.693147180559945
"36","Thymus pulegioides","win_2005",NA,NA
"37","Thymus pulegioides","win_2006",NA,NA
"38","Thymus pulegioides","win_2007",NA,NA
"39","Thymus pulegioides","win_2008",NA,NA
"40","Thymus pulegioides","win_2009",NA,NA
"41","Thymus pulegioides","win_2010",NA,NA
"42","Thymus pulegioides","win_2011",1,0.693147180559945
"43","Thymus pulegioides","win_2012",1,0.693147180559945
"44","Thymus pulegioides","win_2013",2,1.09861228866811
"45","Thymus pulegioides","win_2014",4,1.6094379124341
"46","Thymus pulegioides","win_2015",9,2.30258509299405
"47","Thymus pulegioides","win_2016",15,2.77258872223978
"48","Thymus pulegioides","win_2017",19,2.99573227355399
"49","Thymus pulegioides","win_2018",25,3.25809653802148
"50","Thymus pulegioides","win_2019",30,3.43398720448515
"51","Thymus pulegioides","win_2020",28,3.36729582998647
"52","Campanula rapunculoides","win_1970",4,1.6094379124341
"53","Campanula rapunculoides","win_1971",5,1.79175946922805
"54","Campanula rapunculoides","win_1972",3,1.38629436111989
"55","Campanula rapunculoides","win_1973",4,1.6094379124341
"56","Campanula rapunculoides","win_1974",4,1.6094379124341
"57","Campanula rapunculoides","win_1975",4,1.6094379124341
"58","Campanula rapunculoides","win_1976",4,1.6094379124341
"59","Campanula rapunculoides","win_1977",4,1.6094379124341
"60","Campanula rapunculoides","win_1978",4,1.6094379124341
"61","Campanula rapunculoides","win_1979",4,1.6094379124341
"62","Campanula rapunculoides","win_1980",3,1.38629436111989
"63","Campanula rapunculoides","win_1981",2,1.09861228866811
"64","Campanula rapunculoides","win_1982",2,1.09861228866811
"65","Campanula rapunculoides","win_1983",4,1.6094379124341
"66","Campanula rapunculoides","win_1984",4,1.6094379124341
"67","Campanula rapunculoides","win_1985",4,1.6094379124341
"68","Campanula rapunculoides","win_1986",3,1.38629436111989
"69","Campanula rapunculoides","win_1987",3,1.38629436111989
"70","Campanula rapunculoides","win_1988",NA,NA
"71","Campanula rapunculoides","win_1989",NA,NA
"72","Campanula rapunculoides","win_1990",NA,NA
"73","Campanula rapunculoides","win_1991",NA,NA
"74","Campanula rapunculoides","win_1992",NA,NA
"75","Campanula rapunculoides","win_1993",NA,NA
"76","Campanula rapunculoides","win_1994",NA,NA
"77","Campanula rapunculoides","win_1995",NA,NA
"78","Campanula rapunculoides","win_1996",1,0.693147180559945
"79","Campanula rapunculoides","win_1997",1,0.693147180559945
"80","Campanula rapunculoides","win_1998",1,0.693147180559945
"81","Campanula rapunculoides","win_1999",1,0.693147180559945
"82","Campanula rapunculoides","win_2000",2,1.09861228866811
"83","Campanula rapunculoides","win_2001",1,0.693147180559945
"84","Campanula rapunculoides","win_2002",1,0.693147180559945
"85","Campanula rapunculoides","win_2003",2,1.09861228866811
