"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Thymus pulegioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,4,9,17,22,28,37,34,"Thymus pulegioides"
"Campanula rapunculoides",4,5,3,4,4,4,4,5,5,5,4,3,3,4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,2,3,2,2,3,3,3,3,5,3,6,11,29,42,66,87,96,87,"Campanula rapunculoides"
"Medicago lupulina",3,7,7,7,7,7,5,9,12,19,23,23,20,17,10,3,1,1,3,3,3,3,2,1,2,3,3,3,2,1,1,2,5,5,7,6,7,10,9,9,11,10,5,8,10,32,54,82,106,143,130,"Medicago lupulina"
"Hypericum perforatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,179,228,229,"Hypericum perforatum"
"Centaurea stoebe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,9,13,14,13,"Centaurea stoebe"
"Lysimachia nummularia",2,4,7,7,7,9,9,7,7,8,6,4,4,3,2,1,2,1,1,2,2,1,2,3,2,2,2,1,NA,NA,NA,NA,1,1,2,2,3,3,3,4,3,3,3,5,10,19,32,49,65,91,90,"Lysimachia nummularia"
"Frangula alnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,61,96,116,117,"Frangula alnus"
"Myosotis scorpioides",2,3,5,5,6,5,6,6,5,5,6,4,3,3,1,NA,NA,NA,NA,NA,NA,1,1,2,3,3,2,2,1,NA,NA,NA,NA,NA,2,2,2,3,5,7,8,10,9,10,10,13,17,32,42,49,45,"Myosotis scorpioides"
"Hesperis matronalis",3,3,2,2,4,4,5,6,6,6,6,5,4,3,1,NA,NA,1,1,1,1,1,NA,1,2,3,3,3,2,1,NA,NA,2,2,2,4,5,7,8,10,10,10,7,9,17,27,55,82,106,122,123,"Hesperis matronalis"
"Lythrum salicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,189,189,"Lythrum salicaria"
"Centaurium pulchellum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,1,3,7,9,14,16,18,14,"Centaurium pulchellum"
"Rumex crispus",7,11,8,7,8,9,6,10,13,16,24,25,22,17,13,3,1,2,2,2,1,1,1,1,2,2,2,1,1,1,3,5,6,8,8,8,6,5,4,4,3,4,4,4,9,16,27,38,52,53,48,"Rumex crispus"
"Leucanthemum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,60,130,199,233,233,"Leucanthemum vulgare"
"Digitaria sanguinalis",NA,NA,1,1,1,3,3,12,26,48,58,59,52,43,22,8,5,2,2,2,1,1,1,NA,1,1,1,1,2,2,2,3,4,3,4,4,4,10,10,8,10,10,3,3,7,8,10,12,13,15,13,"Digitaria sanguinalis"
"Anthemis cotula",3,3,2,2,2,NA,3,13,25,49,53,52,42,33,8,3,2,3,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,1,1,1,2,1,3,4,4,3,3,"Anthemis cotula"
"Daphne mezereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,8,9,10,11,"Daphne mezereum"
"Trifolium pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,182,182,"Trifolium pratense"
"Rosa rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,10,13,11,18,38,68,95,124,148,144,"Rosa rugosa"
"Cirsium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,53,105,141,169,162,"Cirsium vulgare"
"Vinca minor",2,2,2,2,2,3,3,3,3,4,4,4,4,3,NA,1,2,2,2,2,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,6,5,4,5,14,22,42,56,61,76,77,"Vinca minor"
"Ajuga reptans",1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,7,14,31,48,56,64,59,"Ajuga reptans"
"Centaurea jacea",1,1,1,1,3,3,4,5,9,12,13,11,10,5,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,2,2,2,3,3,2,4,5,6,5,5,3,2,8,18,29,44,49,53,47,"Centaurea jacea"
"Lysimachia punctata",NA,NA,1,1,1,1,1,1,1,1,2,2,2,3,3,1,1,2,1,1,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2,3,8,10,19,26,36,43,50,47,"Lysimachia punctata"
