"","species","Window","Value","Valuelog"
"1","Thymus pulegioides","win_1970",NA,NA
"2","Thymus pulegioides","win_1971",NA,NA
"3","Thymus pulegioides","win_1972",NA,NA
"4","Thymus pulegioides","win_1973",NA,NA
"5","Thymus pulegioides","win_1974",NA,NA
"6","Thymus pulegioides","win_1975",NA,NA
"7","Thymus pulegioides","win_1976",NA,NA
"8","Thymus pulegioides","win_1977",NA,NA
"9","Thymus pulegioides","win_1978",NA,NA
"10","Thymus pulegioides","win_1979",NA,NA
"11","Thymus pulegioides","win_1980",NA,NA
"12","Thymus pulegioides","win_1981",NA,NA
"13","Thymus pulegioides","win_1982",NA,NA
"14","Thymus pulegioides","win_1983",NA,NA
"15","Thymus pulegioides","win_1984",NA,NA
"16","Thymus pulegioides","win_1985",NA,NA
"17","Thymus pulegioides","win_1986",NA,NA
"18","Thymus pulegioides","win_1987",NA,NA
"19","Thymus pulegioides","win_1988",NA,NA
"20","Thymus pulegioides","win_1989",NA,NA
"21","Thymus pulegioides","win_1990",NA,NA
"22","Thymus pulegioides","win_1991",NA,NA
"23","Thymus pulegioides","win_1992",NA,NA
"24","Thymus pulegioides","win_1993",NA,NA
"25","Thymus pulegioides","win_1994",NA,NA
"26","Thymus pulegioides","win_1995",NA,NA
"27","Thymus pulegioides","win_1996",NA,NA
"28","Thymus pulegioides","win_1997",NA,NA
"29","Thymus pulegioides","win_1998",NA,NA
"30","Thymus pulegioides","win_1999",NA,NA
"31","Thymus pulegioides","win_2000",1,0.693147180559945
"32","Thymus pulegioides","win_2001",1,0.693147180559945
"33","Thymus pulegioides","win_2002",1,0.693147180559945
"34","Thymus pulegioides","win_2003",1,0.693147180559945
"35","Thymus pulegioides","win_2004",1,0.693147180559945
"36","Thymus pulegioides","win_2005",NA,NA
"37","Thymus pulegioides","win_2006",NA,NA
"38","Thymus pulegioides","win_2007",NA,NA
"39","Thymus pulegioides","win_2008",NA,NA
"40","Thymus pulegioides","win_2009",NA,NA
"41","Thymus pulegioides","win_2010",NA,NA
"42","Thymus pulegioides","win_2011",1,0.693147180559945
"43","Thymus pulegioides","win_2012",1,0.693147180559945
"44","Thymus pulegioides","win_2013",2,1.09861228866811
"45","Thymus pulegioides","win_2014",3199607.40311586,14.9785389862553
"46","Thymus pulegioides","win_2015",13011356.1608261,16.381333161791
"47","Thymus pulegioides","win_2016",17484242.9749826,16.6768106890537
"48","Thymus pulegioides","win_2017",19601163.1441873,16.7910995175485
"49","Thymus pulegioides","win_2018",24539461.8389247,17.0157931078031
"50","Thymus pulegioides","win_2019",26734375.4288074,17.1014608019414
"51","Thymus pulegioides","win_2020",19416257.6142479,16.7816213459459
"52","Campanula rapunculoides","win_1970",12050.6311925129,9.39695529843056
"53","Campanula rapunculoides","win_1971",669863.851384848,13.4148312566691
"54","Campanula rapunculoides","win_1972",75081.8954928635,11.2263480553919
"55","Campanula rapunculoides","win_1973",572471.653927144,13.2577202472036
"56","Campanula rapunculoides","win_1974",572471.653927144,13.2577202472036
"57","Campanula rapunculoides","win_1975",7680036.22532048,15.854134952159
"58","Campanula rapunculoides","win_1976",3653809.93434559,15.1112812724757
"59","Campanula rapunculoides","win_1977",3653809.93434559,15.1112812724757
"60","Campanula rapunculoides","win_1978",473457.084663469,13.0678186653319
"61","Campanula rapunculoides","win_1979",473457.084663469,13.0678186653319
"62","Campanula rapunculoides","win_1980",12182.5559336948,9.40784244723441
"63","Campanula rapunculoides","win_1981",3204.47298688965,8.07261493627892
"64","Campanula rapunculoides","win_1982",1956.40126156464,7.5793729855019
"65","Campanula rapunculoides","win_1983",65361.6872623375,11.0877068434735
"66","Campanula rapunculoides","win_1984",65361.6872623375,11.0877068434735
"67","Campanula rapunculoides","win_1985",65361.6872623375,11.0877068434735
"68","Campanula rapunculoides","win_1986",1093.19948557969,6.9977783114959
"69","Campanula rapunculoides","win_1987",1093.19948557969,6.9977783114959
"70","Campanula rapunculoides","win_1988",NA,NA
"71","Campanula rapunculoides","win_1989",NA,NA
"72","Campanula rapunculoides","win_1990",NA,NA
"73","Campanula rapunculoides","win_1991",NA,NA
"74","Campanula rapunculoides","win_1992",NA,NA
"75","Campanula rapunculoides","win_1993",NA,NA
"76","Campanula rapunculoides","win_1994",NA,NA
"77","Campanula rapunculoides","win_1995",NA,NA
"78","Campanula rapunculoides","win_1996",1,0.693147180559945
"79","Campanula rapunculoides","win_1997",1,0.693147180559945
"80","Campanula rapunculoides","win_1998",1,0.693147180559945
