"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Thymus pulegioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,3199607.40311586,13011356.1608261,17484242.9749826,19601163.1441873,24539461.8389247,26734375.4288074,19416257.6142479,"Thymus pulegioides"
"Campanula rapunculoides",12050.6311925129,669863.851384848,75081.8954928635,572471.653927144,572471.653927144,7680036.22532048,3653809.93434559,3653809.93434559,473457.084663469,473457.084663469,12182.5559336948,3204.47298688965,1956.40126156464,65361.6872623375,65361.6872623375,65361.6872623375,1093.19948557969,1093.19948557969,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,2,96520.6485385315,2,2,89697.5600125809,89697.5600125809,289116.061924429,289116.061924429,451152.655227814,29722.0165574432,565495.150495366,4127628.13852766,18861400.4336594,27279040.5245612,37792163.3074049,39484048.5909489,39793663.2119599,38131468.9056664,"Campanula rapunculoides"
"Medicago lupulina",2192623.99645201,9410689.84179468,9410689.84179468,9410689.84179468,10673430.01193,6801172.74753572,7681915.08987369,10735668.6872234,10839768.2718007,12649462.5352654,5923848.54776807,14530415.9206022,16247330.4965753,15842849.0737347,9476349.60388078,4387499.61456894,1,1,119454.392633681,119454.392633681,119454.392633681,119454.392633681,2,1,2,862886.665382718,862886.665382718,862886.665382718,2,1,1,2,3653666.04558833,3744028.45651199,4704284.64742125,2606767.51461907,11176762.8298274,13865164.1874792,13865164.1874792,14587521.7193574,14775204.7218131,3742563.37206599,877565.25897251,2679204.81716527,2843423.58109568,14173693.5463084,15197036.487929,28845475.093772,32744878.7370174,34934346.560045,34934346.560045,"Medicago lupulina"
"Hypericum perforatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36059307.549905,37405169.2931428,46779253.8655258,46779253.8655258,"Hypericum perforatum"
"Centaurea stoebe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42894614253398,0.42894614253398,0.42894614253398,2196.77764687747,2233851.02733538,4202167.69068741,4202167.69068741,4202167.69068741,4202167.69068741,"Centaurea stoebe"
"Lysimachia nummularia",2,1349121.09855647,1793207.2846638,801430.059508764,801430.059508764,2500775.03792595,3119467.10087718,3163484.12406042,3131341.02749005,3131341.02749005,1468276.82366498,1466293.12724122,1274245.65627874,33535.3321101315,2,1,2,1,1,0,0,2,0,102774.578546511,2,2,2,1,NA,NA,NA,NA,1,1,2,6280.97388417001,673268.83647116,83322.465799322,83322.465799322,1089280.30452888,1006492.59653949,317044.245587915,15198.8206268959,1541807.50784094,3320506.72842821,6818530.64016615,8035118.4901255,8935809.7373676,16817337.8988544,20679170.2729377,20271162.817114,"Lysimachia nummularia"
"Frangula alnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418594.914130249,7670752.58400182,7742742.05578979,8490539.73028129,8490539.73028129,"Frangula alnus"
"Myosotis scorpioides",2,1355079.17312659,1387040.97949714,1496792.79864427,1685821.53495826,1521512.40010249,923108.938176629,276931.110370767,131235.010128822,262864.811732227,262864.811732227,89419.5784151001,16289.4729605347,16289.4729605347,1,NA,NA,NA,NA,NA,NA,1,1,0,8205.02063307343,8205.02063307343,0,0,1,NA,NA,NA,NA,NA,2,2,2,14024.8414483013,3630671.02698096,5266114.43126369,5311196.90488495,7167404.31869446,7167404.31869446,5831896.34970231,5787984.81766868,12174017.4512781,9466015.62574668,11700439.1260682,13958275.1987274,14487633.4736965,12922742.2581754,"Myosotis scorpioides"
"Hesperis matronalis",3325.78646211228,3398.27894407597,18.9277833147466,48.7929198298454,99724.94733109,101067.283253594,6961555.18081853,7206345.67352157,7195864.48129,7295373.39982819,7295373.39982819,308607.592648861,305785.700083215,238868.622753085,1,NA,NA,1,1,1,1,1,NA,1,2,259495.333604126,259495.333604126,259495.333604126,2,1,NA,NA,2,36317.4948619234,36317.4948619234,217857.235786639,1038228.4282035,1231070.98195487,1374152.3378504,2425064.54943413,2409284.6422711,2666266.40641474,1762825.22405105,736315.421538504,3601578.5524786,10265683.8354878,15040513.2458289,15486677.1814584,17440674.8477552,20299660.7934178,20268778.7889977,"Hesperis matronalis"
"Lythrum salicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22084413.4472453,39777814.3613986,39777814.3613986,"Lythrum salicaria"
