"1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","species"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,8546873.39663787,6245950.06556873,8957658.95985699,11140783.5184108,10797477.1002854,NA,"Thymus pulegioides"
8771.28546986694,NA,1,530.711334832764,1,NA,2,0.00339770889282227,68883.2582236008,0,1,1257.77966422653,NA,NA,1,NA,1094.67029110794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,2,NA,1,NA,2,NA,427283.733941302,3780471.76357587,18790756.5469814,16092400.2135498,28430679.7369549,19540954.1724311,29623756.410817,2277.72518244324,"Campanula rapunculoides"
NA,NA,0,104.643285544586,5471682.8601657,NA,NA,2,4225281.45060928,2,332449.165776204,5717.14817526054,2190026.67390448,111570.387760752,2,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,176309.327259033,1,2,NA,2,2834743.83268981,NA,2,2,1,1,26137.9615488228,1864270.05402299,14032385.6199736,8806093.41728495,27985571.9759618,25493741.0907599,29912730.334948,NA,"Medicago lupulina"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35969718.7446367,26585125.9812904,35854959.4722105,347451.742461061,"Hypericum perforatum"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429931608581543,NA,NA,1,875990.124638888,745450.617340907,77768.9529086624,3.15612557983398,NA,"Centaurea stoebe"
NA,1,NA,1,2,5724.08634976463,1,NA,416053.266620914,2,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,2,2,1930237.30341798,5729449.45544694,4273584.35659842,8029302.99925788,9725496.0600874,13448301.5261111,12290.3973528763,"Lysimachia nummularia"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416919.814415929,7674609.9409294,7044924.05775411,7552899.78490109,2864956.2433656,"Frangula alnus"
NA,1,NA,1,1,2,1,1,NA,2,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,323701.301128692,2,2,NA,843787.811114362,139548.649464476,8163688.58278883,695634.000033003,6081422.2339657,7554829.68654692,11550882.0669623,NA,"Myosotis scorpioides"
3270.70340746918,NA,NA,7.44131489982605,1,NA,2,0,4.96689156837463,1,2,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,146015.431488282,1,81734.5650313026,1,0.543922191619873,77423.3529708984,2,1.21604747390747,367953.497410504,3324340.58401921,9516615.96103155,8084505.61743196,10406842.8838894,12556882.1740594,15943319.3050109,1040403.90367236,"Hesperis matronalis"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21995414.4743899,39146929.0025784,NA,"Lythrum salicaria"
